RBB321ARuListWithoutBand:
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS02, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS02, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS02, Band:3), RU3: (RuType:RUS02, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS02, Band:3), RU3: (RuType:RUS03, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS03, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS03, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS03, Band:3), RU3: (RuType:RUS02, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS03, Band:3), RU3: (RuType:RUS03, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS02, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS03, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS02, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS03, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS02, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS02, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS02, Band:3), RU3: (RuType:RUS02, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS02, Band:3), RU3: (RuType:RUS03, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS03, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS03, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS03, Band:3), RU3: (RuType:RUS02, Band:3), 
RU1: (RuType:RUS01, Band:3), RU2: (RuType:RUS03, Band:3), RU3: (RuType:RUS03, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS02, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS03, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS02, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS03, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS02, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS02, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS02, Band:3), RU3: (RuType:RUS02, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS02, Band:3), RU3: (RuType:RUS03, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS03, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS03, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS03, Band:3), RU3: (RuType:RUS02, Band:3), 
RU1: (RuType:RUS02, Band:3), RU2: (RuType:RUS03, Band:3), RU3: (RuType:RUS03, Band:3), 
RU1: (RuType:RUS03, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS03, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS03, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS02, Band:3), 
RU1: (RuType:RUS03, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS03, Band:3), 
RU1: (RuType:RUS03, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
RU1: (RuType:RUS03, Band:3), RU2: (RuType:RUS01, Band:3), RU3: (RuType:RUS01, Band:3), 
